,Academic Year,B-T,C,Captain,Custom Field 1,Event,Events,Full Name,HIGH SCHOOL,HOMETOWN,HT,High School,Hometown,Ht,Ht.,LETTERS,Letters,NAME,NO,Name,No,POS,Pos,Pos.,Wt,Wt.,YR,Year,Yr,Yr.,title
36,,,,,,,,,,,,Lockport High School,"Lockport, Ill.",5-7,,,,,,John Danko 0,44,,A,,145,,,,So.,,2016 Men\'s Lacrosse Roster
37,,,,,,,,,,,,Shakopee,"Shakopee, Minn.",5-10,,,,,,Zachary Carlson 0,45,,D,,185,,,,So.,,2016 Men\'s Lacrosse Roster
0,,,,,,,Decathlon,,,,,North,"Downers Grove, Ill.",,,,,,,Andrew Adams 1,,,,,,,,,So.,,2016 Men\'s Track and Field Roster
1,,,,,,,Jumps,,,,,Rock Island,"Rock Island, Ill.",,,,,,,Travon Aldridge 1,,,,,,,,,So.,,2016 Men\'s Track and Field Roster
2,,,,,,,Distance,,,,,Winnebago,"Winnebago, Ill.",,,,,,,Nate Ambrose 0,,,,,,,,,Fr.,,2016 Men\'s Track and Field Roster
3,,,,,,,Throws,,,,,Libertyville,"Libertyville, Ill.",,,,,,,Kevin Barbian 1,,,,,,,,,So.,,2016 Men\'s Track and Field Roster
4,,,,,,,Middle Distance,,,,,Moline,"Moline, Ill.",,,,,,,Jacob Barr 0,,,,,,,,,So.,,2016 Men\'s Track and Field Roster
5,,,,,,,Throws,,,,,John Hersey,"Arlington Heights, Ill.",,,,,,,Joseph Bellafiore 1,,,,,,,,,So.,,2016 Men\'s Track and Field Roster
6,,,,,,,Distance,,,,,Plainfield South,"Plainfield, Ill.",,,,,,,Tristan Bennis 0,,,,,,,,,So.,,2016 Men\'s Track and Field Roster
7,,,,,,,Middle Distance,,,,,Mount Vernon,"Mount Vernon, Iowa",,,,,,,Thomas Bernard 1,,,,,,,,,Jr.,,2016 Men\'s Track and Field Roster
8,,,,,,,Long Jump,,,,,Ottawa,"Ottawa, Ill.",,,,,,,Austin Burant 2,,,,,,,,,Jr.,,2016 Men\'s Track and Field Roster
9,,,,,,,Jumps,,,,,Washington,"Washington, Ill.",,,,,,,Tyler Burns 0,,,,,,,,,Fr.,,2016 Men\'s Track and Field Roster
10,,,,,,,Middle Distance,,,,,Pine Creek,"Colorado Springs, Colo.",,,,,,,Kristian Carroll 0,,,,,,,,,Fr.,,2016 Men\'s Track and Field Roster
11,,,,,,,Distance,,,,,HS,"Riverdale, Ill.",,,,,,,Kevin Claus 0,,,,,,,,,So.,,2016 Men\'s Track and Field Roster
12,,,,,,,Sprints,,,,,Waubonsie Valley,"Aurora, Ill.",,,,,,,Kyle Cluver 3,,,,,,,,,Sr.,,2016 Men\'s Track and Field Roster
13,,,,,,,Jumps,,,,,Immaculate Conception,"Northlake, Ill.",,,,,,,Jack Copher 0,,,,,,,,,So.,,2016 Men\'s Track and Field Roster
14,,,,,,,Pole Vault,,,,,Hood River,"Hood River, Or.",,,,,,,Patrick Crompton 0,,,,,,,,,Fr.,,2016 Men\'s Track and Field Roster
15,,,,,,,Middle Distance,,,,,Winnebago,"Winnebago, Ill.",,,,,,,Allan Daly 0,,,,,,,,,So.,,2016 Men\'s Track and Field Roster
16,,,,,,,Sprints,,,,,Wethersfield,"Kewanee, Ill.",,,,,,,Rashaun DeBord 2,,,,,,,,,Jr.,,2016 Men\'s Track and Field Roster
17,,,,,,,Throws,,,,,Polo,"Polo, Ill.",,,,,,,Kyle Deets 2,,,,,,,,,Sr.,,2016 Men\'s Track and Field Roster
18,,,,,,,Pole Vault,,,,,Pontiac,"Pontiac, Ill.",,,,,,,Eric DeMattia 1,,,,,,,,,Jr.,,2016 Men\'s Track and Field Roster
19,,,,,,,Javelin,,,,,St. Joseph,"Westchester, Illinois",,,,,,,Anthony DeSanto 0,,,,,,,,,Sr.,,2016 Men\'s Track and Field Roster
20,,,,,,,Sprints,,,,,Kimberly,"Kaukauna, Wis.",,,,,,,Camilo Duarte 2,,,,,,,,,Jr.,,2016 Men\'s Track and Field Roster
21,,,,,,,Throws,,,,,St. Joseph,"Kenosha, Wis.",,,,,,,Ethan Ehlers 1,,,,,,,,,So.,,2016 Men\'s Track and Field Roster
22,,,,,,,Javelin,,,,,Yorkville,"Yorkville, Ill.",,,,,,,Mike Ems 3,,,,,,,,,Sr.,,2016 Men\'s Track and Field Roster
23,,,,,,,Sprints,,,,,Rock Island,"Rock Island, Ill.",,,,,,,Logan Enstrom 0,,,,,,,,,Fr.,,2016 Men\'s Track and Field Roster
24,,,,,,,Distance,,,,,St. Charles North,"St. Charles, Ill.",,,,,,,Peter Francissen 0,,,,,,,,,So.,,2016 Men\'s Track and Field Roster
25,,,,,,,Middle Distance,,,,,Mercer County,"Aledo, Ill.",,,,,,,Jordan Franks 0,,,,,,,,,Sr.,,2016 Men\'s Track and Field Roster
26,,,,,,,Pole Vault,,,,,Plainfield North,"Plainfield, Ill.",,,,,,,Rich Funk 2,,,,,,,,,Sr.,,2016 Men\'s Track and Field Roster
27,,,,,,,Sprints,,,,,Moline,"Moline, Ill.",,,,,,,Ricardo Garcia 0,,,,,,,,,Fr.,,2016 Men\'s Track and Field Roster
28,,,,,,,Sprints,,,,,Kewanee,"Kewanee, Ill.",,,,,,,Cody Goforth 0,,,,,,,,,Fr.,,2016 Men\'s Track and Field Roster
29,,,,,,,Hurdles,,,,,Simi Valley,"Simi Valley, Calif.",,,,,,,Travis Goodwin 3,,,,,,,,,Sr.,,2016 Men\'s Track and Field Roster
30,,,,,,,Middle Distance,,,,,Moline,"Moline, Ill.",,,,,,,Zachary Gray 0,,,,,,,,,So.,,2016 Men\'s Track and Field Roster
31,,,,,,,Pole Vault,,,,,Batavia,"Batavia, Ill.",,,,,,,Bennett Hartmann 2,,,,,,,,,Sr.,,2016 Men\'s Track and Field Roster
32,,,,,,,Hurdles,,,,,Niles West,"Skokie, Ill.",,,,,,,Matthew Henry 0,,,,,,,,,So.,,2016 Men\'s Track and Field Roster
33,,,,,,,Sprints,,,,,Wauconda,"Wauconda, Ill.",,,,,,,Kyle Hucker 0,,,,,,,,,So.,,2016 Men\'s Track and Field Roster
34,,,,,,,Hurdles,,,,,Mercer County,"Aledo, Ill.",,,,,,,Adam Huftstutler 0,,,,,,,,,Fr.,,2016 Men\'s Track and Field Roster
35,,,,,,,Pole Vault,,,,,Lakes Community,"Lindenhurst, Ill.",,,,,,,Hans Hunecke 3,,,,,,,,,Sr.,,2016 Men\'s Track and Field Roster
36,,,,,,,Middle Distance,,,,,Willowbrook,"Villa Park, Ill.",,,,,,,Tim Hyde 0,,,,,,,,,Jr.,,2016 Men\'s Track and Field Roster
37,,,,,,,Sprints,,,,,HS,"Owensboro, Ky.",,,,,,,Michael Johnson 0,,,,,,,,,Fr.,,2016 Men\'s Track and Field Roster
38,,,,,,,Middle Distance,,,,,Pleasant Plains,"New Berlin, Ill.",,,,,,,Mitchell Johnson 1,,,,,,,,,So.,,2016 Men\'s Track and Field Roster
39,,,,,,,Throws,,,,,Richwoods,"Peoria, Ill.",,,,,,,Keith King Jr. 1,,,,,,,,,So.,,2016 Men\'s Track and Field Roster
40,,,,,,,Throws,,,,,Streator,"Streator, Ill.",,,,,,,Jacob Knox 0,,,,,,,,,So.,,2016 Men\'s Track and Field Roster
41,,,,,,,Distance,,,,,Prospect,"Mt. Prospect, Ill.",,,,,,,Ethan Koch 3,,,,,,,,,Sr.,,2016 Men\'s Track and Field Roster
42,,,,,,,Sprints,,,,,Dixon,"Dixon, Ill.",,,,,,,Alex LaMendola 1,,,,,,,,,So.,,2016 Men\'s Track and Field Roster
43,,,,,,,Distance,,,,,Maine South,"Park Ridge, Ill.",,,,,,,Stephen Lavelle 2,,,,,,,,,Jr.,,2016 Men\'s Track and Field Roster
44,,,,,,,Sprints,,,,,Sandwich,"Sandwich, Ill.",,,,,,,Alec Lidinsky 1,,,,,,,,,So.,,2016 Men\'s Track and Field Roster
45,,,,,,,Sprints,,,,,Sandwich,"Sandwich, Ill.",,,,,,,Marc Lidinsky 0,,,,,,,,,Fr.,,2016 Men\'s Track and Field Roster
46,,,,,,,Middle Distance,,,,,Mount Carmel,"Chicago, Ill.",,,,,,,Brian Lovejoy 2,,,,,,,,,Sr.,,2016 Men\'s Track and Field Roster
47,,,,,,,Middle Distance,,,,,Willowbrook,"Villa Park, Ill.",,,,,,,Mark Lundine 0,,,,,,,,,So.,,2016 Men\'s Track and Field Roster
48,,,,,,,Distance,,,,,Naperville Central,"Naperville, Ill.",,,,,,,Ryan Maher 0,,,,,,,,,Jr.,,2016 Men\'s Track and Field Roster
49,,,,,,,Hurdles,,,,,Riverton,"Riverton, Ill.",,,,,,,Brandon Marcy 1,,,,,,,,,So.,,2016 Men\'s Track and Field Roster
50,,,,,,,Hurdles,,,,,York,"Elmhurst, Ill.",,,,,,,Kevin May 0,,,,,,,,,Fr.,,2016 Men\'s Track and Field Roster
51,,,,,,,Sprints,,,,,Carmel Catholic,"Lake Villa, Ill.",,,,,,,Derrick McLean 0,,,,,,,,,Jr.,,2016 Men\'s Track and Field Roster
52,,,,,,,Hurdles,,,,,Batavia,"Batavia, Ill.",,,,,,,Omar Medina 0,,,,,,,,,Jr.,,2016 Men\'s Track and Field Roster
53,,,,,,,Middle Distance,,,,,Geneva,"Geneva, Ill.",,,,,,,Jordan Midgley 1,,,,,,,,,Jr.,,2016 Men\'s Track and Field Roster
54,,,,,,,Jumps,,,,,Buffalo Grove,"Arlington Heights, Ill.",,,,,,,Evan Murphy 0,,,,,,,,,So.,,2016 Men\'s Track and Field Roster
55,,,,,,,Sprints,,,,,De LaSalle,"Chicago, Ill.",,,,,,,Larry Muse 2,,,,,,,,,Sr.,,2016 Men\'s Track and Field Roster
56,,,,,,,Pole Vault,,,,,Homewood-Flossmoor,"Homewood, Ill.",,,,,,,Dan O'Leary 2,,,,,,,,,Sr.,,2016 Men\'s Track and Field Roster
57,,,,,,,Distance,,,,,Havana,"Havana, Ill.",,,,,,,Tanner Osing 2,,,,,,,,,Jr.,,2016 Men\'s Track and Field Roster
58,,,,,,,Middle Distance,,,,,Minooka,"Minooka, Ill.",,,,,,,Dan Popek 2,,,,,,,,,Sr.,,2016 Men\'s Track and Field Roster
59,,,,,,,Middle Distance,,,,,Dunlap,"Dunlap, Ill.",,,,,,,Joe Puetz 0,,,,,,,,,Sr.,,2016 Men\'s Track and Field Roster
60,,,,,,,Throws,,,,,Lockport,"Homer Glen, Ill.",,,,,,,Charles Robbins 0,,,,,,,,,Fr.,,2016 Men\'s Track and Field Roster
61,,,,,,,Decathlon,,,,,Moline,"Moline, Ill.",,,,,,,Matt Roche 0,,,,,,,,,Jr.,,2016 Men\'s Track and Field Roster
62,,,,,,,Hurdles/ Jumps,,,,,Paxton Buckley,"Paxton, Ill.",,,,,,,Tyler Rubarts 0,,,,,,,,,So.,,2016 Men\'s Track and Field Roster
63,,,,,,,Distance,,,,,Thomas Jefferson,"Carthage, Mo.",,,,,,,Chris Saladin 0,,,,,,,,,Jr.,,2016 Men\'s Track and Field Roster
64,,,,,,,Middle Distance,,,,,Riverdale,"Port Byron, Ill.",,,,,,,Mitch Sand 2,,,,,,,,,Jr.,,2016 Men\'s Track and Field Roster
65,,,,,,,Distance,,,,,United Township,"Silvis, Ill.",,,,,,,Keith Sands 3,,,,,,,,,Sr.,,2016 Men\'s Track and Field Roster
66,,,,,,,High Jump,,,,,HS,"Geneseo, Ill.",,,,,,,Gage Sears 0,,,,,,,,,Fr.,,2016 Men\'s Track and Field Roster
67,,,,,,,Middle Distance,,,,,Alleman Catholic,"Rock Island, Ill.",,,,,,,Quintin Sebben 0,,,,,,,,,So.,,2016 Men\'s Track and Field Roster
68,,,,,,,Throws,,,,,Downers Grove North,"Westmont, Ill.",,,,,,,Marckus Simmons 2,,,,,,,,,Jr.,,2016 Men\'s Track and Field Roster
69,,,,,,,Sprints,,,,,Marion,"Marion, Iowa",,,,,,,Isaac Smith 2,,,,,,,,,Jr.,,2016 Men\'s Track and Field Roster
70,,,,,,,Hurdles,,,,,Saydel,"Des Moines, Iowa",,,,,,,Clayton Sommers 0,,,,,,,,,Fr.,,2016 Men\'s Track and Field Roster
71,,,,,,,Distance,,,,,Orchard Farm,"St. Charles, MO",,,,,,,Luke Starr 0,,,,,,,,,So.,,2016 Men\'s Track and Field Roster
72,,,,,,,Throws,,,,,North,"Downers Grove, Ill.",,,,,,,Nick Steichmann 1,,,,,,,,,So.,,2016 Men\'s Track and Field Roster
73,,,,,,,Sprints,,,,,Grayslake Central,"Grayslake, Ill.",,,,,,,Cody Stephans 1,,,,,,,,,Sr.,,2016 Men\'s Track and Field Roster
74,,,,,,,Pole Vault,,,,,Lincoln-Way Central,"Manhattan, Ill.",,,,,,,Joey Strain 2,,,,,,,,,Sr.,,2016 Men\'s Track and Field Roster
75,,,,,,,Sprints,,,,,Winnebago,"Winnebago, Ill.",,,,,,,Jeffrey Swanson 1,,,,,,,,,So.,,2016 Men\'s Track and Field Roster
76,,,,,,,Distance,,,,,Minooka,"Channahon, Ill.",,,,,,,Joseph Teresi 0,,,,,,,,,So.,,2016 Men\'s Track and Field Roster
77,,,,,,,Hurdles,,,,,Wethersfield,"Kewanee, Ill.",,,,,,,Presson Thomson 0,,,,,,,,,Fr.,,2016 Men\'s Track and Field Roster
78,,,,,,,Distance,,,,,Tri-Point,"Kempton, Ill.",,,,,,,Josh Thorson 0,,,,,,,,,Fr.,,2016 Men\'s Track and Field Roster
79,,,,,,,Pole Vault,,,,,Mercer County,"Aledo, Ill.",,,,,,,Mark VanderHeyden 0,,,,,,,,,Fr.,,2016 Men\'s Track and Field Roster
80,,,,,,,Javelin,,,,,Pioneer,"Ann Arbor, Mich.",,,,,,,Brendan Vorobiev 0,,,,,,,,,So.,,2016 Men\'s Track and Field Roster
81,,,,,,,Throws,,,,,HS,"Homewood, Ill.",,,,,,,Clayton Wassilak 0,,,,,,,,,Fr.,,2016 Men\'s Track and Field Roster
82,,,,,,,Middle Distance,,,,,Geneva,"Geneva, Ill.",,,,,,,Nathan Wendt 2,,,,,,,,,Jr.,,2016 Men\'s Track and Field Roster
83,,,,,,,Distance,,,,,Neuqua Valley,"Naperville, Ill.",,,,,,,Michael Whaley 1,,,,,,,,,Jr.,,2016 Men\'s Track and Field Roster
84,,,,,,,Throws,,,,,United Township,"East Moline, Ill.",,,,,,,Cody Wheeler 0,,,,,,,,,Fr.,,2016 Men\'s Track and Field Roster
85,,,,,,,Sprints,,,,,University,"Bloomington, Ill.",,,,,,,Austin Wheeler 0,,,,,,,,,Fr.,,2016 Men\'s Track and Field Roster
86,,,,,,,Distance,,,,,Tri-Point,"Stelle, Ill.",,,,,,,Brandon Wilkerson 0,,,,,,,,,Fr.,,2016 Men\'s Track and Field Roster
87,,,,,,,Distance,,,,,Vernon Hills,"Vernon Hills, Ill.",,,,,,,Rob Williams 0,,,,,,,,,Fr.,,2016 Men\'s Track and Field Roster
88,,,,,,,Distance,,,,,Harvard,"Harvard, Ill.",,,,,,,Tim Wiltshire 0,,,,,,,,,Jr.,,2016 Men\'s Track and Field Roster
89,,,,,,,Hurdles,,,,,Fremd,"Palatine, Ill.",,,,,,,Josh Yamamoto 1,,,,,,,,,So.,,2016 Men\'s Track and Field Roster
90,,,,,,,Throws,,,,,,"Highlands Ranch, Colo.",,,,,,,Connor Zinn 0,,,,,,,,,Sr.,,2016 Men\'s Track and Field Roster
0,,,,,,,Sprints,"Absher, Devyn",,,,Oregon,"Oregon, Ill.",,,,**,,,,,,,,,,,Jr.,,,2016 Women\'s Track and Field Roster
1,,,*,,,,Sprints,"Akmakjian, Rachel",,,,Poudre,"Fort Collins, Colo.",,,,***,,,,,,,,,,,Sr.,,,2016 Women\'s Track and Field Roster
2,,,,,,,Distance,"Bacon, Claire",,,,Rock Island,"Rock Island, Ill.",,,,,,,,,,,,,,,So.,,,2016 Women\'s Track and Field Roster
3,,,,,,,Sprints/Jumps,"Blecha, Comet",,,,Plainfield North,"Plainfield, Ill.",,,,,,,,,,,,,,,So.,,,2016 Women\'s Track and Field Roster
4,,,,,,,Distance,"Brashler, Suzie",,,,Downers Grove North,"Downers Grove, Ill.",,,,*,,,,,,,,,,,Sr.,,,2016 Women\'s Track and Field Roster
5,,,,,,,Jumps,"Bushey, Kayla",,,,Luther North,"Chicago, Ill.",,,,***,,,,,,,,,,,Sr.,,,2016 Women\'s Track and Field Roster
6,,,,,,,Pole Vault,"Butcher, Mackenzie",,,,Sand Creek,"Colorado Springs, Colo.",,,,,,,,,,,,,,,Fr.,,,2016 Women\'s Track and Field Roster
7,,,,,,,Throws,"Cervone, Alessandra",,,,Immaculate Conception,"Medinah, Ill.",,,,**,,,,,,,,,,,Jr.,,,2016 Women\'s Track and Field Roster
8,,,,,,,Mid Distance,"Cheboi, Nelly",,,,,"Kenya, Africa",,,,**,,,,,,,,,,,Sr.,,,2016 Women\'s Track and Field Roster
9,,,,,,,MIddle Distance,"Cline, Kaitlyn",,,,Wethersfield,"Kewanee, Ill.",,,,,,,,,,,,,,,Fr.,,,2016 Women\'s Track and Field Roster
10,,,,,,,Middle Distance,"Cline, Kylie",,,,Wethersfield,"Kewanee, Ill.",,,,,,,,,,,,,,,Fr.,,,2016 Women\'s Track and Field Roster
11,,,,,,,Distance,"Connolly, Alayna",,,,South,"Downers Grove, Ill.",,,,,,,,,,,,,,,Fr.,,,2016 Women\'s Track and Field Roster
12,,,,,,,Distance,"Crown, Irene",,,,Aurora Central,"Geneva, Ill.",,,,,,,,,,,,,,,Fr.,,,2016 Women\'s Track and Field Roster
13,,,,,,,Jumps- Hurdles,"Cunningham, Kelsey",,,,Regis Jesuit,"Aurora, Colorado",,,,**,,,,,,,,,,,Jr.,,,2016 Women\'s Track and Field Roster
14,,,,,,,Middle Distance,"DeArmond, Michelle",,,,Moline,"Moline, Ill.",,,,,,,,,,,,,,,Fr.,,,2016 Women\'s Track and Field Roster
15,,,*,,,,Distance,"Friedrich, Katrina",,,,Downers Grove South,"Downers Grove, Ill.",,,,**,,,,,,,,,,,Jr.,,,2016 Women\'s Track and Field Roster
16,,,*,,,,Throws,"Gallegos, Guadalupe",,,,Carl Sandburg,"Orland Park, Ill.",,,,**,,,,,,,,,,,Jr.,,,2016 Women\'s Track and Field Roster
17,,,,,,,Distance,"Garcia, Carol",,,,North,"Belvidere, Ill.",,,,,,,,,,,,,,,Fr.,,,2016 Women\'s Track and Field Roster
18,,,,,,,Middle Distance,"Gerdemann, LuAnna",,,,Dubuque Hempstead,"Dubuque, Iowa",,,,,,,,,,,,,,,Fr.,,,2016 Women\'s Track and Field Roster
19,,,,,,,Throws,"Golaszewski, Christine",,,,Reed-Custer,"Braidwood, Ill.",,,,*,,,,,,,,,,,So.,,,2016 Women\'s Track and Field Roster
20,,,,,,,Hurdles- Jumps,"Harden, Markesha",,,,Galesburg HS,"Galesburg, Ill.",,,,**,,,,,,,,,,,Jr.,,,2016 Women\'s Track and Field Roster
21,,,,,,,Middle Distance,"Hartman, Isabella",,,,Iowa Valley,"Marengo, Iowa",,,,,,,,,,,,,,,Fr.,,,2016 Women\'s Track and Field Roster
22,,,,,,,Jumps,"Henry, Michelle",,,,Maine West,"Des Plaines, Ill.",,,,,,,,,,,,,,,Fr.,,,2016 Women\'s Track and Field Roster
23,,,,,,,Distance,"Hernandez, Alondra",,,,East Aurora,"Aurora, Ill.",,,,,,,,,,,,,,,So.,,,2016 Women\'s Track and Field Roster
24,,,,,,,Jumps,"Hogenkamp, Audrey",,,,Lakewood,"Lakewood, Colo.",,,,,,,,,,,,,,,Fr.,,,2016 Women\'s Track and Field Roster
25,,,,,,,Distance,"Jepson, Brianna",,,,Rockford Christian,"Belvidere, Ill.",,,,*,,,,,,,,,,,So.,,,2016 Women\'s Track and Field Roster
26,,,,,,,Pole Vault,"Kampert, Courtney",,,,Huntley,"Huntley, Ill.",,,,*,,,,,,,,,,,So.,,,2016 Women\'s Track and Field Roster
27,,,,,,,Middle Distance,"Kerschieter, Bailey",,,,"Normal Community - Normal, Ill.","Murfreesboro, Tenn.",,,,*,,,,,,,,,,,Sr.,,,2016 Women\'s Track and Field Roster
28,,,,,,,Sprints,"Klewinski, Elisa",,,,HS,"Westmont, Ill.",,,,,,,,,,,,,,,Fr.,,,2016 Women\'s Track and Field Roster
29,,,,,,,Middle Distance,"La Russo, Erin",,,,Fremd,"Palatine, Ill.",,,,,,,,,,,,,,,Fr.,,,2016 Women\'s Track and Field Roster
30,,,,,,,Distance,"Lechtenberg, Jessica",,,,South Winneshiek,"Fort Atkinson, Iowa",,,,,,,,,,,,,,,Fr.,,,2016 Women\'s Track and Field Roster
31,,,,,,,Pole Vault,"Leigh, Emalee",,,,United Township,"Hampton, Ill.",,,,***,,,,,,,,,,,Sr.,,,2016 Women\'s Track and Field Roster
32,,,,,,,,"Lentsch, Anna",,,,Willowbrook,"Lombard, Ill.",,,,*,,,,,,,,,,,Jr.,,,2016 Women\'s Track and Field Roster
33,,,*,,,,Distance,"Lobsinger, Hana",,,,Wheaton-Warrenville South,"Wheaton, Ill.",,,,***,,,,,,,,,,,Sr.,,,2016 Women\'s Track and Field Roster
34,,,*,,,,Hurdles,"Martines, Annie",,,,St. Charles East,"St. Charles, Ill.",,,,***,,,,,,,,,,,Sr.,,,2016 Women\'s Track and Field Roster
35,,,,,,,Distance,"McNair, Laura",,,,Lake Zurich,"Lake Zurich, Ill.",,,,,,,,,,,,,,,Fr.,,,2016 Women\'s Track and Field Roster
36,,,,,,,Sprints,"Melo, Valeria",,,,Lisle,"Lisle, Ill.",,,,,,,,,,,,,,,So.,,,2016 Women\'s Track and Field Roster
37,,,,,,,Sprints,"Metrou, Eleni",,,,HS,"Oswego, Ill.",,,,,,,,,,,,,,,Fr.,,,2016 Women\'s Track and Field Roster
38,,,,,,,Heptathlon,"Nelson, Amanda",,,,Rochester,"Springfield, Ill.",,,,*,,,,,,,,,,,So.,,,2016 Women\'s Track and Field Roster
39,,,,,,,Pole Vault,"Nelson, Catie",,,,Geneseo,"Annawan, Ill.",,,,**,,,,,,,,,,,Sr.,,,2016 Women\'s Track and Field Roster
40,,,,,,,Sprints/Jumps,"Ommundson, Kelli",,,,Taft,"Chicago, Ill.",,,,*,,,,,,,,,,,Sr.,,,2016 Women\'s Track and Field Roster
41,,,,,,,Distance,"Penn, Hannah",,,,HS,"Normal, Ill.",,,,,,,,,,,,,,,Fr.,,,2016 Women\'s Track and Field Roster
42,,,,,,,Middle Distance,"Reiley, Corrin",,,,HS,"Prophetstown, Ill.",,,,,,,,,,,,,,,Fr.,,,2016 Women\'s Track and Field Roster
43,,,,,,,Distance,"Renihan, Mackenzie",,,,HS,"Vernon Hills, Ill.",,,,,,,,,,,,,,,Fr.,,,2016 Women\'s Track and Field Roster
44,,,,,,,Sprints,"Richardson, Sydney",,,,Fairview,"Louisville, Colo.",,,,,,,,,,,,,,,Fr.,,,2016 Women\'s Track and Field Roster
45,,,,,,,Distance,"Ries, Sophia",,,,HS,"Wilsonville, Ore.",,,,**,,,,,,,,,,,Jr.,,,2016 Women\'s Track and Field Roster
46,,,*,,,,Pole Vault,"Robb, Zoe",,,,HS,"Boulder, Colo.",,,,**,,,,,,,,,,,Jr.,,,2016 Women\'s Track and Field Roster
47,,,,,,,Middle Distance,"Rodriguez, Genevieve",,,,West Chicago,"West Chicago, Ill.",,,,*,,,,,,,,,,,So.,,,2016 Women\'s Track and Field Roster
48,,,,,,,Distance,"Rosenthal, Laura",,,,Normal University,"Towanda, Ill.",,,,*,,,,,,,,,,,So.,,,2016 Women\'s Track and Field Roster
49,,,,,,,Distance,"Ruthberg, Sara",,,,Lisle,"Lisle, Ill.",,,,*,,,,,,,,,,,Sr.,,,2016 Women\'s Track and Field Roster
50,,,,,,,Middle Distance,"Scanlan, Sierra",,,,Romeoville,"Romeoville, Ill.",,,,,,,,,,,,,,,So.,,,2016 Women\'s Track and Field Roster
51,,,,,,,Middle Distance,"Stanley, Kaitlyn",,,,HS,"Lisle, Ill.",,,,,,,,,,,,,,,Fr.,,,2016 Women\'s Track and Field Roster
52,,,,,,,Pole Vault,"Talken, Ashley",,,,HS,Wheeling,,,,,,,,,,,,,,,Fr.,,,2016 Women\'s Track and Field Roster
53,,,,,,,Long Jump,"Urbanczyk, Annie",,,,Glenbrook North,"Northbrook, Ill.",,,,**,,,,,,,,,,,Sr.,,,2016 Women\'s Track and Field Roster
54,,,,,,,Middle Distance,"Utgaard, Margaret",,,,Monticello,"White Heath, Ill.",,,,,,,,,,,,,,,Fr.,,,2016 Women\'s Track and Field Roster
55,,,,,,,Middle Distance,"Vallejo, Isabel",,,,Rock Island,"Rock Island, Ill.",,,,*,,,,,,,,,,,So.,,,2016 Women\'s Track and Field Roster
56,,,,,,,Distance,"Walsh, Shannon",,,,HS,"Mahtomedi, Minn.",,,,,,,,,,,,,,,Fr.,,,2016 Women\'s Track and Field Roster
57,,,,,,,Throws,"Webster, Emily",,,,Lakes Community,"Lindenhurst, Ill.",,,,*,,,,,,,,,,,So.,,,2016 Women\'s Track and Field Roster
58,,,,,,,Distance,"Whisler, Brenna",,,,Pleasant Valley,"Bettendorf, Iowa",,,,**,,,,,,,,,,,Jr.,,,2016 Women\'s Track and Field Roster
59,,,,,,,Middle Distance,"Wingerd, Cassidy",,,,HS,"Streamwood, Ill.",,,,,,,,,,,,,,,Fr.,,,2016 Women\'s Track and Field Roster
60,,,,,,,Hurdles,"Wise, Anna",,,,HS,"Geneseo, Ill.",,,,,,,,,,,,,,,Fr.,,,2016 Women\'s Track and Field Roster
61,,,,,,,Sprints,"Zaragoza, Sydney",,,,Rosary,"Aurora, Ill.",,,,*,,,,,,,,,,,So.,,,2016 Women\'s Track and Field Roster
0,,,,,,,,,,,,Minooka Community,"Channahon, Ill.",5-9,,,,,,Abbie Hoeg 0,2,,M,,,,,,Fr.,,2016 Women\'s Lacrosse Roster
1,,,,*,,,,,,,,York,"Elmhurst, Ill.",5-7,,,,,,Cori Duncan 3,4,,D/M/GK,,,,,,Sr.,,2016 Women\'s Lacrosse Roster
2,,,,,,,,,,,,Marian Catholic,"South Holland, Ill",5-8,,,,,,Carla Bennett 0,7,,M,,,,,,Fr.,,2016 Women\'s Lacrosse Roster
3,,,,,,,,,,,,Wheaton-Warrenville South,"Wheaton, Ill.",5-1,,,,,,Jessie Czarnecki 2,8,,D/M,,,,,,Jr.,,2016 Women\'s Lacrosse Roster
4,,,,,,,,,,,,Berthoud,"Berthoud, Colo.",5-7,,,,,,Micheli Oliver 0,9,,OM,,,,,,Fr.,,2016 Women\'s Lacrosse Roster
5,,,,,,,,,,,,Neuqua Valley,"Naperville, Ill.",5-1,,,,,,Kendall Maduro 3,10,,M,,,,,,Sr.,,2016 Women\'s Lacrosse Roster
6,,,,,,,,,,,,Park,"Cottage Grove, Minn.",5-5,,,,,,Bailey Aasen 0,12,,A,,,,,,Fr.,,2016 Women\'s Lacrosse Roster
7,,,,,,,,,,,,Lake Zurich,"Hawthorn Woods, Ill.",5-6,,,,,,Emily Handrahan 3,14,,A,,,,,,Sr.,,2016 Women\'s Lacrosse Roster
8,,,,,,,,,,,,Providence,"Matthews, NC",5-6,,,,,,Kaitlin Hightower 3,18,,D,,,,,,Sr.,,2016 Women\'s Lacrosse Roster
9,,,,,,,,,,,,Mother Mcauley,"Chicago, Ill.",5-6,,,,,,Anne Hopkins 2,19,,A,,,,,,Jr.,,2016 Women\'s Lacrosse Roster
10,,,,,,,,,,,,Columbine,"Littleton, Colo.",5-3,,,,,,Jenna Hofmann 3,21,,G,,,,,,Sr.,,2016 Women\'s Lacrosse Roster
